Date,EUR_Future_1_Month,EUR_Future_2_Month,EUR_Future_3_Month,PMI,Index_of_Global_Industrial_Activity
1989-10-31,16.38090214,15.98522817,15.7654093,46.8,10.55804
1989-11-30,15.84811863,15.62526785,15.41955944,46.8,18.098691
1989-12-29,16.52407724,16.04334718,15.67668867,47.4,14.510809
1990-01-31,16.21796427,15.8218126,15.5631013,47.2,16.439948
1990-02-28,15.78478243,15.77667936,15.62272101,49.1,13.003653
1990-03-30,14.86694168,15.03680336,15.07724662,49.9,12.449989
1990-04-30,13.68395812,13.9956838,14.18751499,50.0,2.6119284
1990-05-31,13.11369509,13.14599483,13.82428941,49.5,-6.2935797
1990-06-29,12.78415842,13.09306931,13.34653465,49.2,-15.123819
1990-07-31,14.98942279,15.07252947,15.0347537,46.6,-25.10718
1990-08-31,20.09465144,19.4936899,19.00540865,46.1,-16.093535
1990-09-28,29.22272048,27.9671151,26.75635277,44.5,-18.692391
1990-10-31,24.90951209,23.92500362,22.80295353,43.2,-14.678433
1990-11-30,21.02080484,20.31531207,19.43704557,41.3,-9.7171591
1990-12-31,20.32643083,19.34857636,18.55047455,40.8,-0.4428687
1991-01-31,14.25829839,13.83182884,13.4337906,39.2,0.18209822
1991-02-28,13.62509117,13.01239971,12.59664478,39.4,9.9358175
1991-03-29,14.82902146,14.6249898,14.61682853,40.7,17.87372
1991-04-30,15.92847769,15.6414042,15.5265748,42.8,10.419242
1991-05-31,15.8944233,16.05162999,16.32467318,44.5,14.252322
1991-06-28,16.2091956,16.24383063,16.45164083,50.3,16.434232
1991-07-31,16.49122807,16.54135338,16.56641604,50.6,7.9588762
1991-08-30,17.32797589,17.24426586,17.13544283,52.9,2.7954794
1991-09-30,16.78093112,16.62149235,16.46205357,54.9,5.9018668
1991-10-31,17.73533424,17.51865821,17.29395715,53.1,10.24211
1991-11-29,15.76721234,15.64972194,15.50873345,49.5,10.837872
1991-12-31,12.89543058,12.82952548,12.85149385,46.8,5.3955553
1992-01-31,13.9895175,13.90473254,13.83536303,47.3,2.5189345
1992-02-28,13.78416588,13.81558278,13.83129123,52.7,-10.837812
1992-03-31,14.34332253,14.36704357,14.3275085,54.6,-18.167228
1992-04-30,15.58462148,15.44986128,15.33888228,52.6,-21.985133
1992-05-29,15.95671195,15.8722849,15.82623379,55.7,-14.319799
1992-06-30,14.90324936,15.15151515,15.11500548,53.6,-22.326328
1992-07-31,14.49716714,14.49716714,14.46883853,53.9,-31.755227
1992-08-31,13.4739269,13.51461314,13.55529938,53.4,-31.70951
1992-09-30,14.23970877,14.26771213,14.23270792,49.7,-33.077879
1992-10-30,14.83260886,14.86311294,14.85548692,50.3,-32.485891
1992-11-30,14.92513666,14.90929256,14.88552642,53.6,-19.721315
1992-12-31,14.78696742,14.84356051,14.87589943,54.2,-7.9184115
1993-01-29,14.89035795,14.9145437,14.9709771,55.8,-12.542406
1993-02-26,15.72212066,15.73874024,15.80521855,55.2,-10.380771
1993-03-31,15.4373928,15.51090419,15.45372866,53.5,-2.2641347
1993-04-30,15.27722377,15.26924611,15.30913442,50.2,1.7653808
1993-05-31,14.8895293,14.95357028,15.04963176,51.2,7.8443824
1993-06-30,14.92880894,15.09932646,15.2613181,49.6,4.5048531
1993-07-30,14.8769873,14.95692335,15.09903189,50.2,-6.980073
1993-08-31,14.72159972,14.85950698,14.99741424,50.7,-6.2986308
1993-09-30,14.65691221,14.79145644,14.85872856,50.8,-4.131528
1993-10-29,13.65600691,13.87208297,13.98444252,53.4,-7.6793761
1993-11-30,12.84387439,12.9057939,13.04732419,53.8,-13.260056
1993-12-31,11.73959445,11.90857346,12.15759516,55.6,-18.437517
1994-01-31,12.62877442,12.5044405,12.48667851,56.0,-18.923207
1994-02-28,11.65226499,11.77446103,11.91411364,56.5,-25.001666
1994-03-31,11.2890858,11.36576638,11.47652722,56.9,-25.63
1994-04-29,13.25168919,13.14189189,13.07432432,57.4,-13.40658
1994-05-31,13.81308254,13.78789151,13.74590646,58.2,-0.5073909
1994-06-30,14.31606472,14.11178297,14.021899,58.8,-9.8393608
1994-07-29,15.16189544,14.92537313,14.81934589,58.5,-5.8610321
1994-08-31,13.25662426,13.29713962,13.41058261,58.0,-0.61750781
1994-09-30,13.65337155,13.66929385,13.69317729,59.0,3.0580924
1994-10-31,13.13664596,12.95031056,12.83385093,59.4,19.395263
1994-11-30,13.85873967,13.70484367,13.62384578,59.2,22.236122
1994-12-30,13.24450153,13.22042061,13.26858244,56.1,29.000288
1995-01-31,13.25652963,13.13027697,13.11449538,57.4,30.096423
1995-02-28,13.050205,12.97284753,12.92643305,55.1,28.64858
1995-03-31,12.85347044,12.63312523,12.50826295,52.1,38.465506
1995-04-28,14.09659049,13.71939945,13.40877154,51.5,41.018907
1995-05-31,13.23463437,13.07013608,12.98040975,46.7,40.587341
1995-06-30,12.03969129,11.88533627,11.79713341,45.9,29.121246
1995-07-31,11.63094806,11.56556484,11.56556484,50.7,27.344431
1995-08-31,12.46834957,12.40696693,12.36860278,47.1,33.178472
1995-09-29,12.06225681,11.94253218,11.9275666,48.1,29.357925
1995-10-31,12.08913237,11.93366894,11.84483269,46.7,13.448373
1995-11-30,12.86717511,12.64064034,12.45941252,45.9,9.8034717
1995-12-29,13.68727599,13.28405018,12.97789725,46.2,7.8850157
1996-01-31,12.76365603,12.47778722,12.35416828,45.5,2.8621732
1996-02-29,13.53349082,13.0000762,12.72574869,45.9,-4.7462082
1996-03-29,14.84853121,14.01468788,13.54039168,46.9,-8.5217216
1996-04-30,14.99526963,14.50646484,14.11226742,49.3,-3.7387797
1996-05-31,13.95531164,13.67306938,13.51626813,49.1,-6.5531695
1996-06-28,14.76305723,14.35709267,14.03700523,53.6,-17.233461
1996-07-31,14.36170213,14.11854103,13.90577508,49.7,-30.164389
1996-08-30,15.82755732,15.4771879,15.16490213,51.6,-33.030464
1996-09-30,18.12714777,17.72883474,17.26023118,51.1,-38.47702
1996-10-31,17.5641125,17.29294181,16.91330286,50.5,-29.185611
1996-11-29,17.8995362,17.3964311,16.97979719,53.0,-4.7161901
1996-12-31,18.72444165,18.27618748,17.76502045,55.2,-2.2795258
1997-01-31,18.81998997,18.43556744,18.06785893,53.8,-3.9320257
1997-02-28,16.28791152,16.08917308,16.10645468,53.1,-5.61116
1997-03-31,16.62948344,16.71529089,16.70671014,53.8,-3.1700271
1997-04-30,16.38503052,16.49119703,16.5619747,53.7,-9.4532328
1997-05-30,16.92106411,16.99956389,17.08678587,56.1,-16.888483
1997-06-30,16.44602399,16.52598845,16.62372279,54.9,-17.380898
1997-07-31,17.73574305,17.7170147,17.78256391,57.7,-12.211087
1997-08-29,17.00192891,17.09378157,17.17644898,56.3,-15.788048
1997-09-30,17.91824239,17.92724653,17.8552134,53.9,-15.639677
1997-10-31,17.57990868,17.58868985,17.57990868,56.4,-13.600006
